805.000 TL,Fiat,Egea,1.3 Multijet Easy,2021,35.120 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Tamamı orjinal
800.000 TL,Fiat,Egea,1.3 Multijet Easy,2021,40.399 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Tamamı orjinal
432.000 TL,Fiat,Albea,1.2 Active,2006,105.500 km,Düz,Benzin,Sedan,1242 cc,80 hp,Önden Çekiş,7 lt,47 lt,Tamamı orjinal
235.000 TL,Tofaş,Doğan,SLX,1999,35.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,50 lt,Belirtilmemiş,Takasa Uygun
221.000 TL,Fiat,Albea,1.3 Multijet Dynamic,2004,150.000 km,Düz,Dizel,Sedan,1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,Belirtilmemiş
232.000 TL,Fiat,Albea,Sole 1.4 Fire Dynamic,2007,265.000 km,Düz,LPG & Benzin,Sedan,1368 cc,77 hp,Önden Çekiş,"6,2 lt",48 lt,Belirtilmemiş
242.000 TL,Renault,Clio,1.4 Authentique,2006,275.000 km,Düz,LPG & Benzin,Sedan,1390 cc,75 hp,Önden Çekiş,"7,1 lt",50 lt,Belirtilmemiş
1.790.000 TL,Audi,A4,A4 Sedan 2.0 TDI Design,2017,157.500 km,Yarı Otomatik,Dizel,Sedan,1968 cc,190 hp,Önden Çekiş,"4,1 lt",40 lt,2 boyalı
1.635.000 TL,BMW,3 Serisi,320i ED 40th Year Edition,2016,137.000 km,Otomatik,Benzin,Sedan,1598 cc,170 hp,Arkadan İtiş,"5,3 lt",60 lt,"2 değişen, 1 boyalı"
387.500 TL,Toyota,Corolla,1.4 D-4D Terra,2006,418.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,9 lt",55 lt,2 boyalı
895.000 TL,Ford,Focus,1.6 TDCi Titanium,2016,48.500 km,Düz,Dizel,Hatchback/5,1560 cc,115 hp,Önden Çekiş,"4,2 lt",55 lt,Tamamı orjinal
495.500 TL,Opel,Astra,1.3 CDTI Edition,2012,254.000 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"4,1 lt",56 lt,Belirtilmemiş
190.000 TL,Toyota,Auris,1.33 Life,2014,154.000 km,Düz,Benzin,Hatchback/5,1329 cc,99 hp,Önden Çekiş,"5,5 lt",50 lt,Tamamı orjinal
